original,canonicalName,Abbrev,scientificName
Lycoperdon sp.,Lycoperdon sp.,Lyc sp,"Lycoperdon P. Micheli, 1729"
Macrocybe lobayensis,Macrocybe lobayensis,Mac lob,"Macrocybe lobayensis (R. Heim) Pegler & Lodge, 1998"
Mallocybe africana,"Mallocybe ""africana""",Mal afr,"Mallocybe africana Aignon, Naseer, Matheny, Yorou & Rybery, in prep."
Megacollybia sp.,Megacollybia sp.,Meg sp,Megacollybia Kotl. & Pouzar 1972
Micropsalliota sp.,Micropsalliota sp.,Mic sp,Micropsalliota Höhn. 1914
Mycoamaranthus sclerotinia,Mycoamaranthus sp.,Myc sp,"Mycoamaranthus M.A. Castellano, J.M. Trappe & N. Malajczuk, 1992"
Mycoamaranthus sp.,Mycoamaranthus sp.,Myc sp,"Mycoamaranthus M.A. Castellano, J.M. Trappe & N. Malajczuk, 1992"
Neoboletus sp.,Neoboletus sp.,Neo sp,"Neoboletus Gelardi, Simonini & Vizzini 2014"
Neonothopanus nambi,Neonothopanus nambi,Nen nam,Neonothopanus nambi (Speg.) R.H. Petersen & Krisai 1999
Paxillus sp.,Paxillus sp.,Pax sp,Paxillus Fr. 1836
Peziza sp.,Peziza sp.,Pez sp,Peziza Dill. ex Fr. 1822
Phallus sp.,Phallus sp.,Pha sp,Phallus Junius ex L. 1753
Phlebopus sudanicus,Phlebopus sudanicus,Phl sud,"Phlebopus sudanicus (Har. & Pat.) Heinem., 1954"
Pholiota sp.,Pholiota sp.,Pho sp,Pholiota (Fr.) P. Kumm. 1871
Phylloporus sp.,Phylloporus sp.,Phy sp,Phylloporus Quél. 1888
Pleurotus cystidiosus,Pleurotus cystidiosus,Ple cys,"Pleurotus cystidiosus O.K. Mill., 1969"
Podaxis pistillaris,Podaxis pistillaris,Pod pis,"Podaxis pistillaris (L.) Fr., 1829"
Porphyrellus sp.,Porphyrellus sp.,Por sp,Porphyrellus E.-J. Gilbert
Psathyrella sp.,Psathyrella sp.,Psa sp,"Psathyrella (Fr.) Quél., 1872"
Psathyrella tuberculata,Psathyrella tuberculata,Psa tub,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972"
Pulveroboletus sokponianus,Pulveroboletus sokponianus,Pul sok,"Pulveroboletus sokponianus Badou, De Kesel, Raspé & Yorou 2018"
Russula cellulata,Russula cellulata,Rus cel,"Russula cellulata Buyck, 1989"
Russula cf. grisea,Russula cf. grisea,Rus gri,"Russula grisea Fr., 1838"
Russula compressa,Russula compressa,Rus com,"Russula compressa Buyck, 1989"
Russula congoana,Russula congoana,Rus con,"Russula congoana Pat., 1914"
Russula ochracea,Russula cf. ochracea,Rus och,"Russula ochracea Fr., 1815"
Russula oleifera,Russula oleifera,Rus ole,"Russula oleifera Buyck, 1990"
Russula rubroalba,Russula cf. rubroalba,Rus rub,"Russula rubroalba (Singer) Romagn., 1967"
Russula sp.,Russula sp.,Rus sp,Russula Pers.
Scleroderma citrinum,Scleroderma sp.,Scl sp,Scleroderma Pers.
Scleroderma sp.,Scleroderma sp.,Scl sp,Scleroderma Pers.
Termitomyces clypeatus,Termitomyces clypeatus,Ter cly,"Termitomyces clypeatus R. Heim, 1951"
Termitomyces fuliginosus,Termitomyces fuliginosus,Ter ful,"Termitomyces fuliginosus R. Heim, 1942"
Termitomyces le-testui,Termitomyces le-testui,Ter let,"Termitomyces le-testui (Pat.) R. Heim, 1942"
Termitomyces medius,Termitomyces medius,Ter med,Termitomyces medius R. Heim & Grassé 1951
