canonicalName,scientificName,Abbrev,Vernacular.name,Language,Meaning.of.the.name,n,star
Termitomyces fuliginosus,"Termitomyces fuliginosus R. Heim, 1942",Ter ful,harerendji,Gando,This is just the given name,2,
Scleroderma sp.,Scleroderma Pers.,Scl sp,heklepota,Lokpa,"the powder of the ""epervier""",1,
Termitomyces schimperi,"Termitomyces schimperi (Pat.) R. Heim, 1942",Ter sch,impam kep pese,Lokpa,Mushroom of the winged termites,0,*
Lactifluus edulis,"Lactifluus edulis (Verbeken & Buyck) Buyck, 2011",Lfl edu,kaha,Bariba,Delicious,6,
Lactifluus edulis,"Lactifluus edulis (Verbeken & Buyck) Buyck, 2011",Lfl edu,kaha,Bariba,Delicious (onomatopeic),1,
Lactifluus edulis,"Lactifluus edulis (Verbeken & Buyck) Buyck, 2011",Lfl edu,kaha,Bariba,Given name,2,*
Lactifluus edulis,"Lactifluus edulis (Verbeken & Buyck) Buyck, 2011",Lfl edu,kaha / kassa,Bariba,Delicious,1,
Lactarius saponaceus,"Lactarius saponaceus Verbeken, 1996",Lac sap,kaha pika,Bariba,Delicious white,1,
Amanita masasiensis,"Amanita masasiensis Härk. & Saarim., 1994",Ama mas,karomnini,Yom,Eyes of the bird red,5,
Amanita masasiensis,"Amanita masasiensis Härk. & Saarim., 1994",Ama mas,karomnini,Yom,The eyes of the bird,0,**
Lactifluus edulis,"Lactifluus edulis (Verbeken & Buyck) Buyck, 2011",Lfl edu,karomnini,Yom,Eyes of the bird red,1,
Lactifluus flammans,"Lactifluus flammans (Verbeken) Verbeken, 2012",Lfl fla,karomnini,Yom,Eyes of the bird red,1,
Russula congoana,"Russula congoana Pat., 1914",Rus con,karomnini,Yom,Eyes of the bird red,1,
Russula congoana,"Russula congoana Pat., 1914",Rus con,karomnini,Yom,the eyes of the bird,1,
Boletus pseudoloosii,"Boletus pseudoloosii De Kesel, Codjia & Yourou",Bol pse,kassa,Bariba,Delicious,1,
Lactifluus edulis,"Lactifluus edulis (Verbeken & Buyck) Buyck, 2011",Lfl edu,kassa,Bariba,Delicious (onomatopeic),1,
Lactifluus edulis,"Lactifluus edulis (Verbeken & Buyck) Buyck, 2011",Lfl edu,kassa,Bariba,Given name,1,
Lactifluus edulis,"Lactifluus edulis (Verbeken & Buyck) Buyck, 2011",Lfl edu,kassa,Gando,Delicious,3,
Lactifluus edulis,"Lactifluus edulis (Verbeken & Buyck) Buyck, 2011",Lfl edu,kassa,Gando,Given name,0,**
Lactifluus edulis,"Lactifluus edulis (Verbeken & Buyck) Buyck, 2011",Lfl edu,kassa,Gando,This is just the given name,1,
Lactifluus edulis,"Lactifluus edulis (Verbeken & Buyck) Buyck, 2011",Lfl edu,kassa karre,Yom,Delicious,1,
Lactifluus edulis,"Lactifluus edulis (Verbeken & Buyck) Buyck, 2011",Lfl edu,kassa karre,Yom,Given name,1,
Lentinus cf. squarrosulus,"Lentinus squarrosulus Mont., 1842",Len squ,kata-kabi,Bariba,Given name,1,
Lentinus cf. squarrosulus,"Lentinus squarrosulus Mont., 1842",Len squ,kata-kabi,Bariba,Hard mushroom,14,
Lentinus tuber-regium,"Lentinus tuber-regium (Fr.) Fr., 1836",Len tub,kata-kabi,Bariba,Hard mushroom,13,
Leucoagaricus bresadolae,"Leucoagaricus bresadolae (Schulzer) Bon & Boiffard, 1977",Leu bre,kata-kabi,Bariba,Hard mushroom,1,
Pleurotus cystidiosus,"Pleurotus cystidiosus O.K. Mill., 1969",Ple cys,kata-kabi,Bariba,Hard mushroom,11,
Lentinus cf. squarrosulus,"Lentinus squarrosulus Mont., 1842",Len squ,katakabi,Bariba,Hard mushroom,0,*
Pleurotus cystidiosus,"Pleurotus cystidiosus O.K. Mill., 1969",Ple cys,katakabi,Bariba,Hard mushroom,0,*
Cantharellus platyphyllus,"Cantharellus platyphyllus Heinem., 1966",Can pla,katandji,Gando,"Mushroom of the ""potasse""",0,*
Lactifluus gymnocarpoides,"Lactifluus gymnocarpoides (Verbeken) Verbeken, 2012",Lfl gym,katandji,Gando,"""potasse"" mushroom",4,
Lactifluus gymnocarpoides,"Lactifluus gymnocarpoides (Verbeken) Verbeken, 2012",Lfl gym,katandji,Gando,Bicarbonate mushroom,5,
Lactifluus gymnocarpoides,"Lactifluus gymnocarpoides (Verbeken) Verbeken, 2012",Lfl gym,katandji,Gando,Champignon de la potasse'. Bicarbonate mushroom (you probably have to cook it in bicarbonated water to reduce the acidity of the mushroom),1,
Lactifluus gymnocarpoides,"Lactifluus gymnocarpoides (Verbeken) Verbeken, 2012",Lfl gym,katandji,Gando,"Mushroom of the ""potasse""",0,**
Lactifluus gymnocarpoides,"Lactifluus gymnocarpoides (Verbeken) Verbeken, 2012",Lfl gym,katandji,Peuhl,"""potasse"" mushroom",1,
Marasmiellus inoderma,"Marasmiellus inoderma (Berk.) Singer ex Furneaux, 2020",Mar ino,katatileraria,Lokpa,that grows enormous,1,
Termitomyces microcarpus,"Termitomyces microcarpus (Berk. & Broome) R. Heim, 1942",Ter mic,katatileraria,Lokpa,when it grows there are a lot,1,
Boletus pseudoloosii,"Boletus pseudoloosii De Kesel, Codjia & Yourou",Bol pse,keteno bemerou,Bariba,thick like the cow tongue,1,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,konkeri,Bariba,Given name,1,
Lentinus cf. squarrosulus,"Lentinus squarrosulus Mont., 1842",Len squ,konqueso foumi,Yom,The skin of old woman bum,10,
Lentinus tuber-regium,"Lentinus tuber-regium (Fr.) Fr., 1836",Len tub,konqueso foumi,Yom,The skin of old woman bum,6,
Pleurotus cystidiosus,"Pleurotus cystidiosus O.K. Mill., 1969",Ple cys,konqueso foumi,Yom,The skin of old woman bum,5,
Cantharellus addaiensis,"Cantharellus addaiensis Henn., 1898",Can add,konqueso foumi mori,Yom,The skin of old woman bum red,1,
Agaricus volvatulus,"Agaricus volvatulus Heinem. & Gooss.-Font., 1956",Aga vol,koro gomi,Bariba,"mushroom of the ""sillon""",2,
Leucocoprinus cepistipes,Leucocoprinus cepistipes (Sowerby) Pat. 1889,Leu cep,korodjoumandjo,Gando,The feet of the new bride,1,
Amanita cf. craseoderma,"Amanita craseoderma Bas, 1978",Ama crd,koron gomi,Bariba,"mushroom of the ""sillon""",2,
Amanita cf. craseoderma,"Amanita craseoderma Bas, 1978",Ama crd,korongomi,Bariba,"mushroom of the ""sillon""",2,
Lactarius tenellus,"Lactarius tenellus Verbeken & Walleyn, 2000",Lac ten,korotoko sarikarabou,Bariba,Given name,1,
Russula congoana,"Russula congoana Pat., 1914",Rus con,korotoko tong berou,Bariba,"Old lady mushroom, because it is easy to bring back",1,
Russula congoana,"Russula congoana Pat., 1914",Rus con,korotoko tongbebou,Bariba,colour of an instrument used by older women to keep the powder,0,*
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,kouakere,Bariba,Delicious (it looks like a man),2,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,kouakere,Bariba,Given name,3,
Lentinus cf. squarrosulus,"Lentinus squarrosulus Mont., 1842",Len squ,koukpetega pantontai,Lokpa,Vagina skin of an old women,6,
Lentinus tuber-regium,"Lentinus tuber-regium (Fr.) Fr., 1836",Len tub,koukpetega pantontai,Lokpa,Vagina skin of an old women,1,
Pleurotus cystidiosus,"Pleurotus cystidiosus O.K. Mill., 1969",Ple cys,koukpetega pantontai,Lokpa,Vagina skin of an old women,6,
Gymnopilus sp.,Gymnopilus P. Karst.,Gym sp,koukptega pantontai,Lokpa,The skin of the old woman's vagina,1,
Lentinus cf. squarrosulus,"Lentinus squarrosulus Mont., 1842",Len squ,koukptega pantontai,Lokpa,The skin of the old woman's vagina,5,
Pleurotus cystidiosus,"Pleurotus cystidiosus O.K. Mill., 1969",Ple cys,koukptega pantontai,Lokpa,The skin of the old woman's vagina,4,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,koutchourou wountou,Lokpa,Delicious,1,
Termitomyces clypeatus,"Termitomyces clypeatus R. Heim, 1951",Ter cly,koutou bougourou,Yom,Termite mushroom,1,
Auricularia cornea,"Auricularia cornea Ehrenb., 1820",Aur cor,koutou koutou yenou,Yom,Egg shaped,0,*
Auricularia cornea,"Auricularia cornea Ehrenb., 1820",Aur cor,koutou koutou yenou,Yom,Eggs of the pigeon,1,
Lycoperdon sp.,"Lycoperdon P. Micheli, 1729",Lyc sp,koutou koutou yenou,Yom,Given name,0,*
Mycoamaranthus sp.,"Mycoamaranthus M.A. Castellano, J.M. Trappe & N. Malajczuk, 1992",Myc sp,koutou koutou yenou,Yom,Eggs of the pigeon,1,
Scleroderma sp.,Scleroderma Pers.,Scl sp,koutou koutou yenou,Yom,Eggs of the pigeon,3,
Scleroderma sp.,Scleroderma Pers.,Scl sp,koutou koutou yenou,Yom,Eggs of the turkey,1,
Scleroderma sp.,Scleroderma Pers.,Scl sp,koutou koutou yenou,Yom,Given name,4,
Scleroderma sp.,Scleroderma Pers.,Scl sp,koutou koutou yenou,Yom,look like eggs,5,
Termitomyces clypeatus,"Termitomyces clypeatus R. Heim, 1951",Ter cly,koutou koutou yenou,Yom,Small mushroom,1,
Termitomyces fuliginosus,"Termitomyces fuliginosus R. Heim, 1942",Ter ful,kpam kep pesse,Lokpa,The hunter's mushroom,3,
Lactifluus edulis,"Lactifluus edulis (Verbeken & Buyck) Buyck, 2011",Lfl edu,kparo goumi,Yom,Mushroom of te baobab,1,
Pleurotus cystidiosus,"Pleurotus cystidiosus O.K. Mill., 1969",Ple cys,kphakphesse fouwi,Yom,bum of the old person,0,*
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,kpokerim,Bariba,Very tasty,1,
Amanita annulatovaginata,Amanita annulatovaginata Beeli 1927,Ama ann,kpokikpou,Bariba,Given name,1,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,kpokireikou,Bariba,small mushroom,0,*
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,kpoquere,Bariba,Given name,1,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,kpoquere,Bariba,Small mushroom,1,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,kpoquere,Bariba,Small mushroom difficult to harvest,1,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,kpoquere,Bariba,They are a lot,1,
Chlorophyllum palaeotropicum,Chlorophyllum palaeotropicum Z.W. Ge & A. Jacobs 2018,Chl pal,kwam kep pesse,Lokpa,on the path of the cows,2,
Russula sp.,Russula Pers.,Rus sp,kwam kep pesse,Lokpa,on the path of the cows,1,
"Amanita ""crassiconus""","Amanita crassiconus nom. prov. Bas, 1969",Ama crc,lamougomidji,Gando,The king of the mushrooms - first mushroom  of the seaon  the other follow,0,*
Amanita “leucogala”,Amanita leucogala nom. prov.,Ama leu,lamougomidji,Gando,The king of the mushrooms,1,
Russula congoana,"Russula congoana Pat., 1914",Rus con,magb bassi,Yom,Hard mushroom,1,
Amanita cf. craseoderma,"Amanita craseoderma Bas, 1978",Ama crd,mahasso,Bariba,"King mushroom, Mushroom that never grows alone",1,
Amanita congolensis,"Amanita congolensis (Beeli) Tulloss, B.E. Wolfe, K.W. Hughes, Kudzma & D. Arora 2015",Ama con,maho,Bariba,so tasty,1,
Amanita cf. craseoderma,"Amanita craseoderma Bas, 1978",Ama crd,maho,Bariba,"King mushroom, Mushroom that never grows alone",1,
Amanita cf. rubescens,"Amanita rubescens Pers., 1797",Ama rub,maline,Gando,when the clouds turn black,0,*
Phlebopus sudanicus,"Phlebopus sudanicus (Har. & Pat.) Heinem., 1954",Phl sud,maline,Gando,"When the clouds change to black (when you scratch it, it turns black)",1,
Pulveroboletus sokponianus,"Pulveroboletus sokponianus Badou, De Kesel, Raspé & Yorou 2018",Pul sok,maline,Gando,"When the clouds change to black (when you scratch it, it turns black)",2,
Xylaria sp.,Xylaria Hill ex Schrank 1789,Xyl sp,malinedji,Gando,"When the clouds change to black (when you scratch it, it turns black)",1,
Amanita strobilaceovolvata,"Amanita strobilaceovolvata Beeli, 1935",Ama stro,massa,Bariba,Given name,1,
Amanita cf. rubescens,"Amanita rubescens Pers., 1797",Ama rub,masso,Bariba,Given name,1,
Amanita congolensis,"Amanita congolensis (Beeli) Tulloss, B.E. Wolfe, K.W. Hughes, Kudzma & D. Arora 2015",Ama con,masso,Gando,The king of the mushrooms - first mushroom  of the seaon  the other follow,0,*
Termitomyces schimperi,"Termitomyces schimperi (Pat.) R. Heim, 1942",Ter sch,meron,Yom,Mushroom for the family,1,
Termitomyces schimperi,"Termitomyces schimperi (Pat.) R. Heim, 1942",Ter sch,merou / goumsabeha,Yom,cant eat alone/The prince (doesn’t come alone),0,*
Termitomyces fuliginosus,"Termitomyces fuliginosus R. Heim, 1942",Ter ful,mkpame kaikpaisi,Lokpa,n/a,2,
Chlorophyllum palaeotropicum,Chlorophyllum palaeotropicum Z.W. Ge & A. Jacobs 2018,Chl pal,nabigomi,Bariba,cattle mushroom,0,*
Chlorophyllum palaeotropicum,Chlorophyllum palaeotropicum Z.W. Ge & A. Jacobs 2018,Chl pal,nabigomi,Bariba,Mushroom that grows where the cattle shits,7,
Russula oleifera,"Russula oleifera Buyck, 1990",Rus ole,nabigomi,Bariba,cattle mushroom,0,*
Russula oleifera,"Russula oleifera Buyck, 1990",Rus ole,nabigomi,Bariba,Mushroom that grows where the cattle shits,2,
Amanita xanthogala,"Amanita xanthogala Bas, 1969",Ama xan,nabisou,Bariba,Mushroom that grows where the cattle shits,1,
Amanita “leucogala”,Amanita leucogala nom. prov.,Ama leu,nabougomidji,Gando,King of the mushrooms,1,
Russula cf. ochracea,"Russula ochracea Fr., 1815",Rus och,nadourou,Gando,Just a given name,1,
Russula oleifera,"Russula oleifera Buyck, 1990",Rus ole,naho gouha,Yom,cattle mushroom,0,*
Boletus pseudoloosii,"Boletus pseudoloosii De Kesel, Codjia & Yourou",Bol pse,nahohim,Lokpa,Nostrils of the cow,1,
Chlorophyllum palaeotropicum,Chlorophyllum palaeotropicum Z.W. Ge & A. Jacobs 2018,Chl pal,nahohim,Lokpa,Nostrils of the cow,1,
Russula oleifera,"Russula oleifera Buyck, 1990",Rus ole,nahou djoutée,Lokpa,Cow navel,2,
Chlorophyllum palaeotropicum,Chlorophyllum palaeotropicum Z.W. Ge & A. Jacobs 2018,Chl pal,nahou kaikpaisi,Lokpa,Cow mushrooms,2,
Scleroderma sp.,Scleroderma Pers.,Scl sp,nami bemin,Yom,the small of the hare,0,*
"Amanita ""crassiconus""","Amanita crassiconus nom. prov. Bas, 1969",Ama crc,namou komidji,Gando,The king of the mushrooms,1,
Scleroderma sp.,Scleroderma Pers.,Scl sp,nanibounou,Yom,Fart of the rabbit (bc when it dies it makes the sound),0,*
Chlorophyllum palaeotropicum,Chlorophyllum palaeotropicum Z.W. Ge & A. Jacobs 2018,Chl pal,nao kep pesse,Lokpa,Mushroom of the cows,1,
Russula sp.,Russula Pers.,Rus sp,nao ponto,Lokpa,Mushroom of the cows,1,
"Amanita ""crassiconus""","Amanita crassiconus nom. prov. Bas, 1969",Ama crc,napounto kep pese,Lokpa,mushroom of the feces of the cattle,0,*
"Amanita ""crassiconus""","Amanita crassiconus nom. prov. Bas, 1969",Ama crc,naragmer,Yom,the cow's nostrils,1,
Boletus pseudoloosii,"Boletus pseudoloosii De Kesel, Codjia & Yourou",Bol pse,naragmer,Yom,the cow's nostrils,1,
Russula cellulata,"Russula cellulata Buyck, 1989",Rus cel,naragmora,Yom,Nostrils of the cow,1,
"Amanita ""crassiconus""","Amanita crassiconus nom. prov. Bas, 1969",Ama crc,naragouna,Yom,the cow mushroom,1,
"Amanita ""crassiconus""","Amanita crassiconus nom. prov. Bas, 1969",Ama crc,naragouna,Yom,Where the cattle shits,1,
Chlorophyllum palaeotropicum,Chlorophyllum palaeotropicum Z.W. Ge & A. Jacobs 2018,Chl pal,naragouna,Yom,Mushroom of the cattle,0,*
Chlorophyllum palaeotropicum,Chlorophyllum palaeotropicum Z.W. Ge & A. Jacobs 2018,Chl pal,naragouna,Yom,Mushroom of the cows,9,
Chlorophyllum palaeotropicum,Chlorophyllum palaeotropicum Z.W. Ge & A. Jacobs 2018,Chl pal,naragouna,Yom,the cow mushroom,7,
Macrocybe lobayensis,"Macrocybe lobayensis (R. Heim) Pegler & Lodge, 1998",Mac lob,naragouna,Yom,Nostrils of the cow,1,
Porphyrellus sp.,Porphyrellus E.-J. Gilbert,Por sp,naragouna,Yom,Nostrils of the cow,1,
Russula oleifera,"Russula oleifera Buyck, 1990",Rus ole,naragouna,Yom,Nostrils of the cow,1,
Neoboletus sp.,"Neoboletus Gelardi, Simonini & Vizzini 2014",Neo sp,nargmia,Yom,Nostrils of cow,0,*
Phlebopus sudanicus,"Phlebopus sudanicus (Har. & Pat.) Heinem., 1954",Phl sud,narnia,Yom,Nostrils of the cow,1,
Amanita loosii,"Amanita loosii Beeli, 1936",Ama loo,narnokpai,Yom,The feet of the penguin - bc its big,0,*
Amanita pulverulenta,"Amanita pulverulenta Beeli, 1927",Ama pul,naudjougoude,Lokpa,Navel of the cow,0,*
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,naudjougounde,Lokpa,Mushroom of the cows,1,
Chlorophyllum palaeotropicum,Chlorophyllum palaeotropicum Z.W. Ge & A. Jacobs 2018,Chl pal,naudjougounde,Lokpa,Mushroom of the cows,2,
Lactifluus flammans,"Lactifluus flammans (Verbeken) Verbeken, 2012",Lfl fla,ndandji,Gando,Milk mushroom,1,
"Amanita ""virido-odorata""",Amanita virido-odorata nom. prov.,Ama vir,negnel nague,Gando,The tongue of the cow,1,
Chlorophyllum palaeotropicum,Chlorophyllum palaeotropicum Z.W. Ge & A. Jacobs 2018,Chl pal,negnel nague,Gando,The tongue of the cow,1,
Gyroporus sp.,Gyroporus Quél.,Gyr sp,negnel nague,Gando,The tongue of the cow,1,
Lactifluus flammans,"Lactifluus flammans (Verbeken) Verbeken, 2012",Lfl fla,nenandji,Gando,Milk mushroom,3,**
Lactifluus flammans,"Lactifluus flammans (Verbeken) Verbeken, 2012",Lfl fla,nenandji,Gando,The milk mushroom,1,
Marasmiellus inoderma,"Marasmiellus inoderma (Berk.) Singer ex Furneaux, 2020",Mar ino,neteodjounga,Yom,the lazy one can#t eat (they are numerous),1,
Gyroporus sp.,Gyroporus Quél.,Gyr sp,ngel nangue,Gando,The tongue of the cow,1,
Lactarius denigricans,"Lactarius denigricans Verbeken & Karhula, 1996",Lac den,nkpam,Lokpa,earings,1,
Inocybe sp. 2,Inocybe “sp. 2”,Ino sp2,nofomousou,Gando,Ears of the cat,1,
Lactarius tenellus,"Lactarius tenellus Verbeken & Walleyn, 2000",Lac ten,nofomousou,Gando,Ears of the cat,2,*
Megacollybia sp.,Megacollybia Kotl. & Pouzar 1972,Meg sp,nofomousou,Gando,Ears of the cat,1,
Cystolepiota sp.,Cystolepiota Singer,Cys sp,nogma,Yom,"Mushroom of the ""fognon""",1,
Lactarius sp.,Lactarius Pers. 1797,Lac sp,nogma,Yom,"Mushroom of the ""fognon""",1,
Phlebopus sudanicus,"Phlebopus sudanicus (Har. & Pat.) Heinem., 1954",Phl sud,nogma,Yom,"Mushroom of the ""fognon""",1,
Agaricus sp. 1,Agaricus L. 1753,Aga sp1,nognun,Yom,"Mushroom of the ""fognon""",0,*
Agaricus sp. 2,Agaricus L. 1753,Aga sp2,nognun,Yom,"Mushroom of the ""fognon""",0,*
Micropsalliota sp.,Micropsalliota Höhn. 1914,Mic sp,nognun,Yom,"Mushroom of the ""fognon""",0,*
Amanita masasiensis,"Amanita masasiensis Härk. & Saarim., 1994",Ama mas,osousoun akette,Bariba,Mushroom were the soil is hard,1,
Amanita cf. craseoderma,"Amanita craseoderma Bas, 1978",Ama crd,osousoun gheso,Bariba,Mushroom of the fallow,1,
"Amanita ""crassiconus""","Amanita crassiconus nom. prov. Bas, 1969",Ama crc,ouyerou,Bariba,noise of the insects buzzing on the the mushroom,1,
Amanita afrospinosa,Amanita afrospinosa Pegler & Shah-Smith 1997,Ama afr,pagougnun,Yom,Given name,0,*
Amanita loosii,"Amanita loosii Beeli, 1936",Ama loo,paledji,Gando,Calabasse mushroom,0,*
Volvariella volvacea,Volvariella volvacea (Bull.) Singer 1951,Vol vol,pan kep pesse,Lokpa,Mushroom of the palm plantation,1,
Amanita cf. craseoderma,"Amanita craseoderma Bas, 1978",Ama crd,panchagouna,Yom,"mushroom of the ""sillon""",8,
Lactifluus edulis,"Lactifluus edulis (Verbeken & Buyck) Buyck, 2011",Lfl edu,paragouna,Yom,Given name,1,
Lentinus crinitus,Lentinus crinitus (L.) Fr. 1825,Len cri,pourapkpera,Yom,Old person mushroom,0,*
Lactarius tenellus,"Lactarius tenellus Verbeken & Walleyn, 2000",Lac ten,sarag-beminou,Bariba,Mushroom for the old lady to cook,1,
"Amanita ""crassiconus""","Amanita crassiconus nom. prov. Bas, 1969",Ama crc,secunsedji,Gando,When you cut it it becomes white,1,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,segeunsedji,Gando,This is just the given name,2,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,segeunsedji,Peuhl,Given name,1,
Inocybe sp. 2,Inocybe “sp. 2”,Ino sp2,segounseyi,Gando,Just a given name,1,
Amanita masasiensis,"Amanita masasiensis Härk. & Saarim., 1994",Ama mas,siconandji,Gando,mushroom of the bird,0,*
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,sicondaredji,Gando,Mushroom of the white bird,0,*
Macrocybe lobayensis,"Macrocybe lobayensis (R. Heim) Pegler & Lodge, 1998",Mac lob,siera gouna,Yom,Doka mushroom,1,
Pleurotus cystidiosus,"Pleurotus cystidiosus O.K. Mill., 1969",Ple cys,siera gouna,Yom,Mushroom of the doka,3,
Russula congoana,"Russula congoana Pat., 1914",Rus con,siera gouna,Yom,Mushroom of the doka,1,
Termitomyces schimperi,"Termitomyces schimperi (Pat.) R. Heim, 1942",Ter sch,siera yeme,Yom,the canopy of the Doka,1,
Macrocybe lobayensis,"Macrocybe lobayensis (R. Heim) Pegler & Lodge, 1998",Mac lob,sierogouna,Yom,Doka mushroom,1,
Boletus sp.,Boletus L. : Fr.,Bol sp,sikira,Bariba,Given name,1,
Amanita masasiensis,"Amanita masasiensis Härk. & Saarim., 1994",Ama mas,sikonadji,Gando,Mushroom of the orange bird,1,
Amanita masasiensis,"Amanita masasiensis Härk. & Saarim., 1994",Ama mas,sikonadji,Gando,Mushroom of the orange bird (because of the eyes),1,
Inocybe sp. 2,Inocybe “sp. 2”,Ino sp2,sikonadji,Gando,Just a given name,1,
"Inosperma ""roseopurpurea""",Inosperma roseopurpurea nom. prov.,Isp ros,sikonna,Gando,Red. When you put this in the water it turns red. (Souleymane adds that it means 'one'),1,
Amanita masasiensis,"Amanita masasiensis Härk. & Saarim., 1994",Ama mas,sikonon,Bariba,name of the red bird,9,
Amanita masasiensis,"Amanita masasiensis Härk. & Saarim., 1994",Ama mas,sikonon,Bariba,name of the red eyed bird,4,
Amanita masasiensis,"Amanita masasiensis Härk. & Saarim., 1994",Ama mas,sikounadji,Gando,Mushroom of the yellow bird,2,
Amanita masasiensis,"Amanita masasiensis Härk. & Saarim., 1994",Ama mas,sikounadji,Gando,yellow bird,1,
Amanita masasiensis,"Amanita masasiensis Härk. & Saarim., 1994",Ama mas,sikounadji,Peuhl,Given name in Bariba,1,
Amanita masasiensis,"Amanita masasiensis Härk. & Saarim., 1994",Ama mas,sirokounounou,Bariba,"mushroom of the eys of the bird, bird of the karite",0,*
Amanita strobilaceovolvata,"Amanita strobilaceovolvata Beeli, 1935",Ama stro,soe-soi,Bariba,Given name,1,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,soe-soi,Bariba,Given name,1,
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,soroundounou,Bariba,Knee of the elephant,1,
Agaricus volvatulus,"Agaricus volvatulus Heinem. & Gooss.-Font., 1956",Aga vol,soukoun-souye,Bariba,"Yam mushroom, it grows at the same time",1,
Amanita cf. craseoderma,"Amanita craseoderma Bas, 1978",Ama crd,soukoun-souye,Bariba,"Yam mushroom, it grows at the same time",1,
Amanita strobilaceovolvata,"Amanita strobilaceovolvata Beeli, 1935",Ama stro,soukoun-souye,Bariba,"Yam mushroom, it grows at the same time",2,
Pholiota sp.,Pholiota (Fr.) P. Kumm. 1871,Pho sp,soukoun-souye,Bariba,"Yam mushroom, it grows at the same time",1,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,soukoun-souye,Bariba,"Yam mushroom, it grows at the same time",1,
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,soulouwontou,Lokpa,Load carrier,1,
Geastrum sp.,Geastrum Pers.,Gea sp,soulouwountou,Lokpa,they take a lot of space when they grow,1,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,soulouwountou,Lokpa,Given name,2,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,soulouwountou,Lokpa,n/a,1,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,soulouwountou,Lokpa,take enough space,1,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,soulouwountou,Lokpa,they take a lot of space when they grow,5,
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,sounou dowankouruo,Bariba,knee of the elephant,0,*
Russula cf. rubroalba,"Russula rubroalba (Singer) Romagn., 1967",Rus rub,sourabe,Bariba,Mushroom that we keep in the hat on the way to the fields,1,
Amanita cf. craseoderma,"Amanita craseoderma Bas, 1978",Ama crd,souro-oure,Bariba,the root is taken off easily,1,
Psathyrella tuberculata,"Psathyrella tuberculata (Pat.) A.H. Sm., 1972",Psa tub,souwoulou wontou,Lokpa,Given name,0,*
Amanita masasiensis,"Amanita masasiensis Härk. & Saarim., 1994",Ama mas,taapogo kaikpaisi,Lokpa,Mushrooms of doka tree,1,
Amanita masasiensis,"Amanita masasiensis Härk. & Saarim., 1994",Ama mas,taapogo kaikpaisi,Lokpa,n/a,3,
Amanita masasiensis,"Amanita masasiensis Härk. & Saarim., 1994",Ama mas,tabo kep pesse,Lokpa,Mushroom of the doka,3,
Lactifluus flammans,"Lactifluus flammans (Verbeken) Verbeken, 2012",Lfl fla,tabo kep pesse,Lokpa,Mushroom of the doka,1,
Lactifluus gymnocarpoides,"Lactifluus gymnocarpoides (Verbeken) Verbeken, 2012",Lfl gym,tabo kep pesse,Lokpa,Mushroom of the doka,1,
Russula congoana,"Russula congoana Pat., 1914",Rus con,tabo kep pesse,Lokpa,Mushroom of the doka,1,
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,tabu,Lokpa,Mushroom of the doka,1,
Amanita subviscosa,"Amanita subviscosa Beeli, 1931",Ama sub,tabu,Lokpa,Mushroom of the Doka tree,0,*
Trametes cingulata,Trametes cingulata Berk. 1854,Tra cin,takodji legue,Gando,Mushroom that sticks to wood,1,
Lentinus cf. squarrosulus,"Lentinus squarrosulus Mont., 1842",Len squ,takountare,Gando,Hard mushroom,4,**
