canonicalName,scientificName,Abbrev,Vernacular.name,Language,Meaning.of.the.name,n,star
Termitomyces songolarum,Termitomyces songolarum (Courtec.) Furneaux 2020,Ter son,bossenou,Bariba,Penis of the dog,0,*
Amanita cf. craseoderma,"Amanita craseoderma Bas, 1978",Ama crd,bossenou,Gando,Penis of the dog,1,
Termitomyces fuliginosus,"Termitomyces fuliginosus R. Heim, 1942",Ter ful,bossenou,Gando,Penis of the dog,1,
Termitomyces le-testui,"Termitomyces le-testui (Pat.) R. Heim, 1942",Ter let,bossenou,Gando,The penis of the dog,3,
Mycoamaranthus sp.,"Mycoamaranthus M.A. Castellano, J.M. Trappe & N. Malajczuk, 1992",Myc sp,botianou,Bariba,Goat testicle,2,
Scleroderma sp.,Scleroderma Pers.,Scl sp,botianou,Bariba,Goat testicle,2,
Lactarius tenellus,"Lactarius tenellus Verbeken & Walleyn, 2000",Lac ten,bougna korekou,Bariba,Given name,1,
Termitomyces fuliginosus,"Termitomyces fuliginosus R. Heim, 1942",Ter ful,bougna korekou,Bariba,it brings water to the body,1,
Neoboletus sp.,"Neoboletus Gelardi, Simonini & Vizzini 2014",Neo sp,bougoun-gourou,Bariba,Mushroom of the morning rain,1,
Lycoperdon sp.,"Lycoperdon P. Micheli, 1729",Lyc sp,boukaka,Gando,Round mushroom,2,
Afroboletus luteolus,"Afroboletus luteolus (Heinem.) Pegler & T.W.K. Young, 1981",Afr lut,bourkou-gourou-ouirou,Bariba,"When the clouds change to black (when you scratch it, it turns black)",1,
Phlebopus sudanicus,"Phlebopus sudanicus (Har. & Pat.) Heinem., 1954",Phl sud,bourkou-gourou-ouirou,Bariba,"When the clouds change to black (when you scratch it, it turns black)",1,
Amanita strobilaceovolvata,"Amanita strobilaceovolvata Beeli, 1935",Ama stro,bouyakoekou,Bariba,Given name,1,
Lactifluus gymnocarpoides,"Lactifluus gymnocarpoides (Verbeken) Verbeken, 2012",Lfl gym,casacanina,Yom,Given name,0,*
Russula congoana,"Russula congoana Pat., 1914",Rus con,choue choue,Gando,Red mushroom (real meaning is small mushroom which takes a lot of place),1,
Russula congoana,"Russula congoana Pat., 1914",Rus con,choue choue,Gando,The red mushroom,1,
Ganoderma enigmaticum,"Ganoderma enigmaticum M.P.A. Coetzee, Marinc. & M.J. Wingf. 2015",Gan eni,choumo,Yom,Insect - bc it kills the tree,0,*
Laetiporus sp.,Laetiporus Murrill 1904,Lae sp,choumo,Yom,Insect - bc it kills the tree,0,*
Volvariella volvacea,Volvariella volvacea (Bull.) Singer 1951,Vol vol,cocoba,Lokpa,under the coco tree,1,
Auricularia sp.,Auricularia Bull. 1780,Aur sp,dafifinou,Bariba,Mushroom of the wood,0,*
